item_name,modifier_name,isOptional,option_name,option_price
Insalata di Tonno,Add Protein,TRUE,Chicken,+$10.00
Insalata di Tonno,Add Protein,TRUE,Add Shrimp,+$12.00
Insalata di Tonno,Add Protein,TRUE,Add Salmon,+$16.00
Insalata di Tonno,Recommended Sides And Apps,TRUE,Classic Bruschetta,+$20.00
Insalata di Tonno,Recommended Sides And Apps,TRUE,Prosciutto Bruschetta,+$22.00
Insalata di Tonno,Recommended Desserts,TRUE,Cannoli,+$13.00
Insalata di Tonno,Recommended Desserts,TRUE,Tiramisu,+$15.00
Insalata di Tonno,Recommended Desserts,TRUE,Gluten Free Cookies,+$12.00
Caesar,Add-Ons,TRUE,Whole Anchovy,+$3.00
Caesar,Add Protein,TRUE,Chicken,+$10.00
Caesar,Add Protein,TRUE,Add Shrimp,+$12.00
Caesar,Add Protein,TRUE,Add Salmon,+$16.00
Caesar,Recommended Sides And Apps,TRUE,Classic Bruschetta,+$20.00
Caesar,Recommended Sides And Apps,TRUE,Prosciutto Bruschetta,+$22.00
Caesar,Recommended Desserts,TRUE,Cannoli,+$13.00
Caesar,Recommended Desserts,TRUE,Tiramisu,+$15.00
Caesar,Recommended Desserts,TRUE,Gluten Free Cookies,+$12.00
Gorgonzola,Add Protein,TRUE,Chicken,+$10.00
Gorgonzola,Add Protein,TRUE,Add Shrimp,+$12.00
Gorgonzola,Add Protein,TRUE,Add Salmon,+$16.00
Gorgonzola,Recommended Sides And Apps,TRUE,Classic Bruschetta,+$20.00
Gorgonzola,Recommended Sides And Apps,TRUE,Prosciutto Bruschetta,+$22.00
Gorgonzola,Recommended Desserts,TRUE,Cannoli,+$13.00
Gorgonzola,Recommended Desserts,TRUE,Tiramisu,+$15.00
Gorgonzola,Recommended Desserts,TRUE,Gluten Free Cookies,+$12.00
Mista,Add Protein,TRUE,Chicken,+$10.00
Mista,Add Protein,TRUE,Add Shrimp,+$12.00
Mista,Add Protein,TRUE,Add Salmon,+$16.00
Mista,Style Choice,FALSE,Arugula,
Mista,Style Choice,FALSE,Spring Mix,
Italian American Meatballs,Mozzarella Addition,TRUE,Mozzarella,+$5.00
Italian American Meatballs,Recommended Sides And Apps,TRUE,Classic Bruschetta,+$20.00
Italian American Meatballs,Recommended Sides And Apps,TRUE,Prosciutto Bruschetta,+$22.00
Italian American Meatballs,Recommended Desserts,TRUE,Cannoli,+$13.00
Italian American Meatballs,Recommended Desserts,TRUE,Tiramisu,+$15.00
Italian American Meatballs,Recommended Desserts,TRUE,Gluten Free Cookies,+$12.00
DiStefano Burrata,Tomato Addition,TRUE,Roma Tomatoes,+$5.00
DiStefano Burrata,Recommended Sides And Apps,TRUE,Classic Bruschetta,+$20.00
DiStefano Burrata,Recommended Sides And Apps,TRUE,Prosciutto Bruschetta,+$22.00
DiStefano Burrata,Recommended Desserts,TRUE,Cannoli,+$13.00
DiStefano Burrata,Recommended Desserts,TRUE,Tiramisu,+$15.00
DiStefano Burrata,Recommended Desserts,TRUE,Gluten Free Cookies,+$12.00
Calabrese Shrimp,Recommended Sides And Apps,TRUE,Classic Bruschetta,+$20.00
Calabrese Shrimp,Recommended Sides And Apps,TRUE,Prosciutto Bruschetta,+$22.00
Calabrese Shrimp,Recommended Desserts,TRUE,Cannoli,+$13.00
Calabrese Shrimp,Recommended Desserts,TRUE,Tiramisu,+$15.00
Calabrese Shrimp,Recommended Desserts,TRUE,Gluten Free Cookies,+$12.00
