Item ID,GUID,Name,Number,Imported ID,Base Price,Created Date,Archived,Modifier,SKU,PLU
4.00000029921167E+017,008178c3-f6c0-4c82-b8bd-74358df337ba,WC Due Terre Rose di Frappato 21,4.00000029921167E+017,,22,5/1/2023,No,No,,
4.00000005911649E+017,008b2bdb-24c5-47ce-b6d8-77769cf4dcc5,RET Frog's Leap Pink Rose 19,4.00000005911649E+017,,24,7/17/2020,No,No,,
4.00000000192212E+017,008e7d80-031a-4d2f-a342-ebf9d46f0cd9,WC Il Colle Brut  Silver DOCG NV,4.00000000192212E+017,,24,12/13/2018,Yes,No,,
4.00000000160189E+017,009e3f80-eacd-4429-9428-8da0a4976cee,All Cheese,4.00000000160189E+017,,0,12/3/2018,No,Yes,,
4.00000013113895E+017,00adb9d7-1218-4843-be59-aab97c5e49c9,RET M. Mathis Gruner Veltliner 20,4.00000013113895E+017,,40,7/29/2021,No,No,,
4.00000000195844E+017,00afba59-f24e-4aaf-ae76-4065cb7a8230,WC Specogno Pignolo 12,4.00000000195844E+017,,52,12/14/2018,Yes,No,,
4.00000001431166E+017,00b7eae0-6a1e-4baf-826c-d65e14b2ce52,BTL Lapierre Morgon 18,4.00000001431166E+017,,72,6/7/2019,No,No,,
4.00000038885531E+017,00c94bff-3a70-47b9-b98a-4bf086ad4587,WC Bisci Verdicchio,4.00000038885531E+017,,24,2/21/2024,No,No,,
4.00000002329846E+017,00cc4836-2fcd-4f1a-aebd-19324fffca85,BTL Andre Clouet Rose,4.00000002329846E+017,,88,9/2/2019,No,No,,
4.00000004460372E+017,00cd7505-0800-48de-96af-3fb0f2b87c47,6/+,4.00000004460372E+017,,8.2,3/6/2020,No,Yes,,
4.00000002428741E+017,00ced734-aee3-463d-a44e-910b9a04884a,BTL Broc Valdiguie 17,4.00000002428741E+017,,40,9/13/2019,No,No,,
4.00000000195167E+017,00d00763-4482-436d-89af-a2632f438865,BTL Domaine Eden Pinot 16,4.00000000195167E+017,,70,12/14/2018,No,No,,
4.00000005141138E+017,00d290c5-c517-495d-92f1-f4bac899531c,MISTA,4.00000005141138E+017,,0,5/24/2020,No,Yes,,
4.00000000272055E+017,00d3efde-eb24-43c1-9175-a19e1c085e9d,RET Terre Nere Guardiola Etna Rosso 14,4.00000000272055E+017,,60,1/4/2019,No,No,,
4.0000000514115E+017,00da3a95-7e1b-4dd3-973d-e6f9f2cdceb4,TIRAMISU,4.0000000514115E+017,,0,5/24/2020,No,Yes,,
4.00000000892078E+017,00e2c8b0-4c0c-4216-921f-f603309007f5,RET Field Recordings Fiction 16,4.00000000892078E+017,,15,4/10/2019,No,No,,
4.00000000828521E+017,00e8458e-a621-49c2-9351-d1f871472190,Quenard Gamay 17 RET,4.00000000828521E+017,,0,4/3/2019,No,No,,
4.00000000266126E+017,00ec3ebf-2640-4aee-99f4-d7a973fe901f,Open Food,4.00000000266126E+017,,0,1/2/2019,No,No,,
4.00000000192159E+017,00f5b0cf-6ae8-4b1d-9a2f-f94d6aa21b23,RET Fondreche Rose 17,4.00000000192159E+017,,19,12/13/2018,No,No,,
4.00000000272047E+017,01065407-6b11-4696-844b-4ca1e38c23f8,RET Juggernaut Cab 16,4.00000000272047E+017,,20,1/4/2019,No,No,,
4.00000000910511E+017,010b289c-ce1d-4b07-b1c7-f08a6aa409e6,WC Valle de Passos 15,4.00000000910511E+017,,18,4/12/2019,Yes,No,,
4.00000010137742E+017,01133889-a3c3-412e-a19c-20cd9ea80624,RET Casas del Toqui Cab,4.00000010137742E+017,,18,3/26/2021,No,No,,
4.00000005015927E+017,011ae948-10b4-43a3-bf98-ae90aae26c8f,"BTL Baracchi ""O Lillo"" Red 16",4.00000005015927E+017,,38,5/12/2020,No,No,,
4.00000000124905E+017,012262e9-51a3-4ebe-a529-2154dcb1743e,No Cheese,4.00000000124905E+017,,0,11/20/2018,No,Yes,,
4.00000023952591E+017,012271bf-742a-40ef-b11e-1562f5ad24a1,RET Lydian Cab,4.00000023952591E+017,,25,10/4/2022,No,No,,
4.0000000849333E+017,0122f996-81dc-4ae3-837b-72a186939753,RET Westgate Petit Verdot,4.0000000849333E+017,,28,12/19/2020,No,No,,
4.00000006311693E+017,012a83d4-bfd7-4e1a-8d6d-8085fc11c4d5,Heirloom Marzano Barolo,4.00000006311693E+017,,15,8/10/2020,No,No,,
4.00000008501155E+017,014cd6f2-14e8-4fbb-b748-95630ca5c05f,SELECT TO INCLUDE UTENSILS,4.00000008501155E+017,,0,12/19/2020,No,No,,
4.00000006078797E+017,014e4dae-c0ff-426b-99de-ee4e126da1c6,RET Foreau Vouvray Demi-Sec 15,4.00000006078797E+017,,47,7/27/2020,No,No,,
4.00000019536841E+017,0150ff0b-a4a7-46e8-bd66-abdeccd27a58,"BTL Poggio ""Bateaux"" Chardonnay 20",4.00000019536841E+017,,40,4/28/2022,No,No,,
4.00000000418308E+017,015b3828-9968-47b5-812c-0306249489e4,6+,4.00000000418308E+017,,22,2/4/2019,No,Yes,,
4.00000003437064E+017,015fb3f8-d5b0-4a9e-8b02-414dd797354b,Pisoni Chard,4.00000003437064E+017,,72,12/20/2019,No,No,,
4.00000000240983E+017,0163568e-6a54-46fd-96d1-082f9ea0b4da,Single Cannoli,4.00000000240983E+017,,7,12/27/2018,No,No,,
4.00000000270464E+017,0169f7e6-e4c1-4365-947c-b64d77dd0e62,1/4 lb.,4.00000000270464E+017,,4.68,1/3/2019,No,Yes,,
4.00000038019264E+017,01789d04-cd7f-40fe-97b0-e60726c30fc3,RET Villa de Filicaja Chianti,4.00000038019264E+017,,24,1/22/2024,No,No,,
4.00000000829433E+017,017c1fe1-b059-4bca-addd-5d12842b49ed,6/+,4.00000000829433E+017,,13.94,4/3/2019,No,Yes,,
4.00000003973242E+017,017c790e-3e55-4aa4-80b7-66fddb75d12e,Regular,4.00000003973242E+017,,20,2/3/2020,No,Yes,,
4.00000006078797E+017,0181ada5-b9f4-4369-b1ea-812b63e0157c,BTL Foreau Vouvray Demi-Sec 15,4.00000006078797E+017,,77,7/27/2020,No,No,,
4.00000000828532E+017,018375df-77c9-4936-9577-532fb4f32d34,6/+,4.00000000828532E+017,,47.56,4/3/2019,No,Yes,,
4.0000000810376E+017,018e697f-aef5-4028-b6b8-60e9014bc1ae,Eggplant Parmesan Full,4.0000000810376E+017,,150,11/21/2020,No,No,,
4.00000000829452E+017,018f76fe-ae8b-4767-aa97-4dcee6617653,6/+,4.00000000829452E+017,,22.96,4/3/2019,No,Yes,,
4.00000000195663E+017,019a9fd5-5a7a-4339-8221-641adc83c714,BTL La Gerla Brunello MAG,4.00000000195663E+017,,150,12/14/2018,No,No,,
4.00000000195224E+017,01a02f4f-ceb2-4cc2-a68f-b026bc6d4ded,BTL Ganevat De Toute Beaute NV,4.00000000195224E+017,,76,12/14/2018,No,No,,
4.00000023953617E+017,01bbf995-75e9-4978-884c-eccb9ba40e57,GLS Villaine 'La Fortune',4.00000023953617E+017,,35,10/4/2022,No,No,,
