Item ID,GUID,Name,Number,Imported ID,Base Price,Created Date,Archived,Modifier,Parent Name,Parent Id,Parent Class
400000001823867665,04879475-f2d1-43d0-9c15-fe889a2d2843,Insalate,400000001823867666,,0.00,7/16/2019,No,No,DOOR DASH,400000001823847171,Menu
400000029562134546,04a8c94c-2110-4e08-a7a6-859a8516579c,Alberice Amilcare 'Fogarina' Lambrusco,400000029562134547,,0.00,4/20/2023,No,No,Sparkling,400000000271238755,MenuGroup
400000028560599480,04b1adf8-b89e-45d9-9afa-40ad9fcf5e6c,Orsianna Cab 17,400000028560599481,,0.00,3/18/2023,No,No,Red,400000000271238761,MenuGroup
400000039384827805,04b34b7f-7f69-4129-b277-77d4c133468b,Zorzettig Ribolla Gialla 21,400000039384827806,,0.00,3/8/2024,No,No,White,400000000271238759,MenuGroup
400000004086331203,04e41d29-83a5-4808-890f-04f133ccf74d,Florez Noble Oble Pinot Noir 18,400000004086331204,,0.00,2/12/2020,Yes,No,Red A-K,400000000186067251,MenuGroup
400000000192059064,04efe2c9-609c-4127-a541-9346abe963f5,Muti Albariño 16,400000000192059065,,0.00,12/13/2018,Yes,No,White,400000000186067255,MenuGroup
400000006117526099,04f38d89-0d46-4090-80b3-0f416b56c239,Ankora Cab Sauv 18,400000006117526450,,0.00,7/30/2020,Yes,No,Red A-K,400000000186067251,MenuGroup
400000002980420446,053dd111-853e-4045-a41d-8678064b3573,David Moreau Bourgogne Rouge 17,400000002980420447,,0.00,11/5/2019,Yes,No,Red A-K,400000000186067251,MenuGroup
400000023883502598,05577bad-5a7a-472c-8e2d-01ed691dc82d,Ca N'estruc Xarel-Lo,400000023883502599,,0.00,10/1/2022,Yes,No,White,400000000271238759,MenuGroup
400000008959283626,058136ac-25a3-4e82-a6c8-137d5cd79c87,Wirra Wirra Scrubby Rise Red,400000008959283627,,0.00,1/20/2021,No,No,WINE CLUB,400000000287676817,Menu
400000001214796856,059597a4-4d16-49ca-b245-7134721fc5dc,Oro en Paz Semillon 16,400000001214796857,,0.00,5/16/2019,Yes,No,White,400000000186067255,MenuGroup
400000000271721964,05abca82-9b65-4de1-b611-bf7bf46f71c9,Abbona Papa Celso Dolcetto 12,400000000271721965,,0.00,1/4/2019,Yes,No,Red,400000000271238761,MenuGroup
400000012224890294,05b72813-64ac-4362-9620-46f30a9407d8,Capezzano Barco Reale,400000012224890295,,0.00,6/24/2021,Yes,No,Red A-K,400000000186067251,MenuGroup
400000000268294996,05e8cbac-7ea0-4d3d-9f44-54952d76e3ee,Terre Nere Guardiola Etna Rosso 14,400000000268294997,,0.00,1/3/2019,Yes,No,Red Q-Z,400000000268246652,MenuGroup
400000005343142880,0605aeff-2941-4737-8993-c3c94f15b8f1,El Gato Cabernet Sauvignon 17,400000005343142881,,0.00,6/10/2020,Yes,No,Red,400000000271238761,MenuGroup
400000010514583215,06273ff7-86d1-4677-abd1-737df1603ccf,Lateral,400000010514583216,,0.00,4/12/2021,Yes,No,Red,400000000271238761,MenuGroup
400000006002599638,0629e9c7-1e2b-44e2-b66e-8c9c3abbda68,Uvaggio Montagna Nera,400000006002599639,,0.00,7/23/2020,Yes,No,Red A-K,400000000186067251,MenuGroup
400000018169419964,064efaa3-d654-459d-a50a-09dd2dfb77b8,Gimonnet BdB Brut NV,400000018169419965,,0.00,3/7/2022,Yes,No,Bubbles,400000000186067099,MenuGroup
400000002412005291,0669a66d-3b79-402f-953d-3ccd28f4f9d8,RET Ferraton Ermitage Blanc 15,400000002412005292,,0.00,9/11/2019,Yes,No,Ferraton Ermitage Blanc 15,400000002411989991,MenuGroup
400000013458970820,067dea83-4fb6-4e90-89d7-c45505625433,Mouzon Leroux l'Atavique Extra Brut,400000013458970821,,0.00,8/12/2021,Yes,No,Bubbles,400000000186067099,MenuGroup
400000039544496759,06804aaa-ebae-4b2f-8bc6-837871b69a1b,Odonata chardonay,400000039544496760,,0.00,3/13/2024,No,No,White,400000000271238759,MenuGroup
400000005964602046,0688c453-d13b-4c3f-afa2-2c54a9df78c5,Fonzone Falanghina 18,400000005964602047,,0.00,7/20/2020,Yes,No,WINE CLUB,400000000287676817,Menu
400000002077067230,06929362-9f76-41a2-a781-f56edcf7ea19,Sant'Antonio Amarone 15,400000002077067231,,0.00,8/9/2019,Yes,No,Red Q-Z,400000000268246652,MenuGroup
400000000186071139,069e942b-890c-4157-9ecb-72d8057af069,Roederer Brut Premier NV,400000000186071140,,0.00,12/11/2018,Yes,No,Bubbles,400000000186067099,MenuGroup
400000000186071067,06a5d4a4-dcb3-4629-ba92-cf205d6d2cef,Gimonnet BdB MAG NV,400000000186071068,,0.00,12/11/2018,Yes,No,Bubbles,400000000186067099,MenuGroup
400000005964602038,06b5d684-6c06-44cc-b4c5-e8b12cbd124e,CP Vini Elegia Primitivo 14,400000005964602039,,0.00,7/20/2020,Yes,No,WINE CLUB,400000000287676817,Menu
400000024359097134,06ce856a-71ab-4df7-9845-49cfe78a5878,Barter & Trade Sauv Blanc 20,400000024359097135,,0.00,10/18/2022,Yes,No,White,400000000271238759,MenuGroup
400000031290461992,06fc9094-137b-42c1-9dd4-1119df30fac0,Lepiane 'La Gaviota' Red 19,400000031290461993,,0.00,6/13/2023,No,No,PUP Retail,400000031290270378,MenuGroup
400000000186071063,0713c430-3ef5-4a44-b164-74c26415665c,Ferrari Perle 09,400000000186071064,,0.00,12/11/2018,Yes,No,Bubbles,400000000186067099,MenuGroup
400000000268295129,072f53cb-db14-48e1-9060-53f536f3959e,Zorzettig Refosco dal peduncolo rosso 15,400000000268295130,,0.00,1/3/2019,Yes,No,Red Q-Z,400000000268246652,MenuGroup
400000037975855077,07418449-35d1-4a1b-955e-dc094245e02f,Riva Leone Barbera 21,400000037975855078,,0.00,1/20/2024,No,No,Red,400000000271238761,MenuGroup
400000000362533831,0742e87d-a332-4933-a9ab-e5f99da9911c,Paternoster Synthesi Aglianico 15,400000000362533832,,0.00,1/25/2019,Yes,No,Red L-P,400000000268246650,MenuGroup
400000001804768183,0761ffbf-6725-4c4d-aa39-e1c6d523bf4a,556,400000001804768184,,0.00,7/14/2019,Yes,No,DOOR DASH,400000001781794869,MenuGroup
400000037563878106,077b8a1c-b83c-4efb-997b-171723df6480,Flowers Chardonnay,400000037563878107,,0.00,1/5/2024,No,No,White,400000000186067255,MenuGroup
400000001564197786,077c5f70-b2d2-4ca0-ace9-8cb2d16fbcc6,Guigal CdR Rose 16,400000001564197787,,0.00,6/21/2019,Yes,No,Rose,400000000271238757,MenuGroup
400000007087958923,07910d14-ad70-4d63-a341-80692b3e5b74,DD DOLCI,400000007087958924,,0.00,9/24/2020,No,No,DOORDASH,400000007087049292,MenuGroup
400000005005789171,07c108f1-d681-455d-ab8e-54bc066661ab,Scherrer Old & Mature Vines Zin 14,400000005005789172,,0.00,5/11/2020,Yes,No,WINE CLUB,400000000287676817,Menu
400000033532822904,07c89ff3-03c7-4a50-b229-d530af3c1320,Castellari Bergaglio Fornaci Gavi 20,400000033532822905,,0.00,8/21/2023,No,No,White,400000000271238759,MenuGroup
400000000192316363,07d7232c-4822-454f-b5ae-95113ff55e96,*La Spinetta Barbaresco Gallina 11,400000000192316364,,0.00,12/13/2018,Yes,No,Red A-K,400000000186067251,MenuGroup
400000000192316673,07da083d-ec71-485a-b750-5e929413f55c,*Windy Oaks Diane's Block Pinot Noir 16,400000000192316674,,0.00,12/13/2018,Yes,No,Red A-K,400000000186067251,MenuGroup
