Item ID,GUID,Name,Number,Imported ID,Base Price,Created Date,Archived,Modifier
400000002973803361,0a9138fc-737f-46b9-9c5b-76d77e8ec424,WC,400000002973803364,,17.00,11/4/2019,No,No
400000000828542612,0a92faf0-7a87-4f60-8cfd-124d8520a0ed,Sale,400000000828542615,,34.00,4/3/2019,No,No
400000003930446399,0ad58db1-a082-4745-9e63-5220f08ec480,Sale 20%,400000003930447902,,19.20,1/31/2020,No,No
400000000268111785,0b04ad38-3c64-43f9-8c4e-78c09da6165a,On Focaccia,400000000268111788,,0.00,1/3/2019,No,No
400000003630026727,0b0571ae-26b1-4df8-a81d-34b7c8cce919,Regular,400000003630026730,,25.00,1/6/2020,No,No
400000004460424420,0b6bacc8-612e-4762-bdd0-ff7cdfd3f4bb,6/+,400000004460424423,,43.46,3/6/2020,No,No
400000000877702853,0b6e5ade-a435-4670-adc0-594385d00a2e,RET,400000000877702856,,24.00,4/8/2019,No,No
400000000829454428,0b7e9a2c-d5ca-45d7-9e41-74c94f15dcef,6/+,400000000829454431,,82.00,4/3/2019,No,No
400000004396970996,0ba4925e-2b10-4e83-9125-3857f99d313b,Regular,400000004396970999,,18.00,3/2/2020,No,No
400000003250744928,0c04865f-c9e6-4c7f-a0df-6e932d738c4f,6/+,400000003250744931,,18.00,12/2/2019,No,No
400000002933106641,0c13b4fc-04c0-4be3-a573-6eacfc0a2ba5,Regular,400000002933106644,,70.00,11/1/2019,No,No
400000003930468180,0c2757aa-0daf-446f-9396-d89b5acba53c,Regular,400000003930468183,,24.00,1/31/2020,No,No
400000002973816446,0cddd215-0358-42a4-a1e5-1e40c63d7180,Regular,400000002973816449,,15.00,11/4/2019,No,No
400000008235537327,0ce17883-f365-40e3-b016-3c10deb9e7df,Add Salmon,400000008235537330,,12.00,12/2/2020,No,No
400000000415103321,0cea53de-ba59-497e-b565-1e7f6b286996,WC Price,400000000415103324,,46.00,2/4/2019,No,No
400000002839669845,0d6c2fde-4894-471d-a2e5-7d1fc06483a0,Sale 6/+,400000002839669848,,37.60,10/22/2019,No,No
400000008345311863,0d9d85d4-8418-42d8-883a-a159695a32f3,Mista,400000008345311866,,0.00,12/9/2020,No,No
400000000892103225,0db1611d-9ddd-4cdc-9d7c-464cfb2f8c4c,Sale,400000000892103228,,50.00,4/10/2019,No,No
400000004461181106,0de4c5c2-e2f1-4abf-95af-5e09b61c7702,6/+,400000004461181109,,16.40,3/6/2020,No,No
400000002839648636,0df59d34-1132-4ceb-ad48-5badf332f2ff,Sale,400000002839648639,,23.80,10/22/2019,No,No
400000000877680076,0e8eaee7-ec6a-48a8-a560-235d1314c398,6+,400000000877680079,,15.00,4/8/2019,No,No
400000005456234697,0ee5a372-17ca-4d34-9c2a-3d9a22571ce2,Add Veggies,400000005456235450,,6.00,6/18/2020,No,No
400000007086308096,0f254bf3-33db-4d83-952d-923bcc191b34,DO NOT MAKE,400000007086308099,,0.00,9/24/2020,No,No
400000001499739841,0f326a7c-4157-4b7d-9302-98e7e6cf0457,Sale,400000001499739844,,30.00,6/14/2019,No,No
400000003973679855,0f8070cb-abc4-4f54-a374-df0c2c404a8e,Regular,400000003973679858,,24.00,2/3/2020,No,No
400000002839687396,0fd6ae14-735f-4ad2-8fab-cdacf1744d63,Sale,400000002839687399,,15.30,10/22/2019,No,No
400000003629990155,0ff95885-ecac-495a-8ba0-40514d788381,Regular,400000003629990158,,20.00,1/6/2020,No,No
400000000124888068,10058b27-9c99-4332-bdcf-291432ad8f8d,No Tuna,400000000124888071,,0.00,11/20/2018,No,No
400000004513137826,1037a9a9-e9eb-4e32-8769-be9c381722cd,Sale 20%,400000004513137829,,14.40,3/9/2020,No,No
400000018976935481,1038f92b-0eca-4494-b6c2-0f963d52a1e7,Add Mozzerella,400000018976935484,,3.00,4/7/2022,No,No
400000005141267634,107d791e-073a-4e25-94c9-0fc3d6f3e8d0,CARROT CAKE,400000005141267637,,0.00,5/24/2020,No,No
400000008370030871,10835c10-bb79-48a4-92af-3a5b1ddb3037,GINGER'S CARROT CAKE BITE,400000008370030874,,0.00,12/11/2020,No,No
400000000593025339,1089fc4c-46bb-490b-b195-2734fc29a57a,Reg,400000000593025342,,25.00,3/4/2019,No,No
400000000892146751,10b3c936-c1c6-444f-b9a2-0f6cab0e90ec,Regular,400000000892146754,,50.00,4/10/2019,No,No
